Celltype_1	Celltype_2	Mean_AUROC	Match_type	Avgscore	hierarchy	Celltype_1_group	Celltype_2_group
Mouse|B cells	Human|Macrophage	NS	NS	0	mh	Mouse	Human
Mouse|B cells	Human|DC	NS	NS	0	mh	Mouse	Human
Mouse|B cells	Human|pDC	NS	NS	0	mh	Mouse	Human
Mouse|B cells	Human|T cells	NS	NS	0	mh	Mouse	Human
Mouse|B cells	Human|CD8 T cells	NS	NS	0	mh	Mouse	Human
Mouse|B cells	Human|NK cells	NS	NS	0	mh	Mouse	Human
Mouse|B cells	Human|pre-PC	NS	NS	0	mh	Mouse	Human
Mouse|B cells	Human|pro-B cells	NS	NS	0	mh	Mouse	Human
Mouse|B cells	Human|pre-B cells	0.98	Above_threshold:0.8	0.974677344904901	mh	Mouse	Human
Mouse|B cells	Human|B cells	NS	NS	0	mh	Mouse	Human
Mouse|B cells	Human|Plasma cells	NS	NS	0	mh	Mouse	Human
Mouse|B cells	Human|Platelet	NS	NS	0	mh	Mouse	Human
Mouse|Plasma cells	Human|Progenitors	NS	NS	0	mh	Mouse	Human
Mouse|Plasma cells	Human|Granulocyte progenitor	NS	NS	0	mh	Mouse	Human
Mouse|Plasma cells	Human|Erythroids	NS	NS	0	mh	Mouse	Human
Mouse|Plasma cells	Human|Neutrophils	NS	NS	0	mh	Mouse	Human
Mouse|Plasma cells	Human|Monocytes	NS	NS	0	mh	Mouse	Human
Mouse|Plasma cells	Human|Macrophage	NS	NS	0	mh	Mouse	Human
Mouse|Plasma cells	Human|DC	NS	NS	0	mh	Mouse	Human
Mouse|Plasma cells	Human|pDC	NS	NS	0	mh	Mouse	Human
Mouse|Plasma cells	Human|T cells	NS	NS	0	mh	Mouse	Human
Mouse|Plasma cells	Human|CD8 T cells	NS	NS	0	mh	Mouse	Human
Mouse|Plasma cells	Human|NK cells	NS	NS	0	mh	Mouse	Human
